report_date,yesterday_redeem,week1_redeem,week2_redeem,week3_redeem,week4_redeem,MON,TUE,WED,THU,FRI,SAT,SUN,dayofmonth_percent,shouldwork
20130701,,,,,,1,0,0,0,0,0,0,,
20130702,1238748,,,,,0,1,0,0,0,0,0,,
20130703,3215499,,,,,0,0,1,0,0,0,0,,
20130704,4385918,,,,,0,0,0,1,0,0,0,,
20130705,12845583,,,,,0,0,0,0,1,0,0,,
20130706,2551703,,,,,0,0,0,0,0,1,0,,
20130707,2289341,,,,,0,0,0,0,0,0,1,,
20130708,4363341,1238748,,,,1,0,0,0,0,0,0,,
20130709,15888356,3215499,,,,0,1,0,0,0,0,0,,
20130710,11374271,4385918,,,,0,0,1,0,0,0,0,,
20130711,18319144,12845583,,,,0,0,0,1,0,0,0,,
20130712,2158990,2551703,,,,0,0,0,0,1,0,0,,
20130713,4829301,2289341,,,,0,0,0,0,0,1,0,,
20130714,2218978,4363341,,,,0,0,0,0,0,0,1,,
20130715,3375744,15888356,1238748,,,1,0,0,0,0,0,0,,
20130716,25375610,11374271,3215499,,,0,1,0,0,0,0,0,,
20130717,32164805,18319144,4385918,,,0,0,1,0,0,0,0,,
20130718,26631817,2158990,12845583,,,0,0,0,1,0,0,0,,
20130719,8142301,4829301,2551703,,,0,0,0,0,1,0,0,,
20130720,3413665,2218978,2289341,,,0,0,0,0,0,1,0,,
20130721,4557888,3375744,4363341,,,0,0,0,0,0,0,1,,
20130722,7068179,25375610,15888356,1238748,,1,0,0,0,0,0,0,,
20130723,9073308,32164805,11374271,3215499,,0,1,0,0,0,0,0,,
20130724,8675669,26631817,18319144,4385918,,0,0,1,0,0,0,0,,
20130725,9348626,8142301,2158990,12845583,,0,0,0,1,0,0,0,,
20130726,62652056,3413665,4829301,2551703,,0,0,0,0,1,0,0,,
20130727,11721842,4557888,2218978,2289341,,0,0,0,0,0,1,0,,
20130728,5723416,7068179,3375744,4363341,,0,0,0,0,0,0,1,,
20130729,32887218,9073308,25375610,15888356,1238748,1,0,0,0,0,0,0,,
20130730,14375762,8675669,32164805,11374271,3215499,0,1,0,0,0,0,0,,
20130731,16427906,9348626,26631817,18319144,4385918,0,0,1,0,0,0,0,,
20130801,13151366,62652056,8142301,2158990,12845583,0,0,0,1,0,0,0,,
20130802,6159040,11721842,3413665,4829301,2551703,0,0,0,0,1,0,0,,
20130803,20410883,5723416,4557888,2218978,2289341,0,0,0,0,0,1,0,,
20130804,24942267,32887218,7068179,3375744,4363341,0,0,0,0,0,0,1,,
20130805,16648439,14375762,9073308,25375610,15888356,1,0,0,0,0,0,0,,
20130806,123111835,16427906,8675669,32164805,11374271,0,1,0,0,0,0,0,,
20130807,23304219,13151366,9348626,26631817,18319144,0,0,1,0,0,0,0,,
20130808,13675014,6159040,62652056,8142301,2158990,0,0,0,1,0,0,0,,
20130809,10561475,20410883,11721842,3413665,4829301,0,0,0,0,1,0,0,,
20130810,15546146,24942267,5723416,4557888,2218978,0,0,0,0,0,1,0,,
20130811,41942573,16648439,32887218,7068179,3375744,0,0,0,0,0,0,1,,
20130812,5443051,123111835,14375762,9073308,25375610,1,0,0,0,0,0,0,,
20130813,43533052,23304219,16427906,8675669,32164805,0,1,0,0,0,0,0,,
20130814,29325894,13675014,13151366,9348626,26631817,0,0,1,0,0,0,0,,
20130815,23721318,10561475,6159040,62652056,8142301,0,0,0,1,0,0,0,,
20130816,21981558,15546146,20410883,11721842,3413665,0,0,0,0,1,0,0,,
20130817,58314359,41942573,24942267,5723416,4557888,0,0,0,0,0,1,0,,
20130818,51457176,5443051,16648439,32887218,7068179,0,0,0,0,0,0,1,,
20130819,35585574,43533052,123111835,14375762,9073308,1,0,0,0,0,0,0,,
20130820,27409347,29325894,23304219,16427906,8675669,0,1,0,0,0,0,0,,
20130821,27002747,23721318,13675014,13151366,9348626,0,0,1,0,0,0,0,,
20130822,18370111,21981558,10561475,6159040,62652056,0,0,0,1,0,0,0,,
20130823,18620771,58314359,15546146,20410883,11721842,0,0,0,0,1,0,0,,
20130824,16009856,51457176,41942573,24942267,5723416,0,0,0,0,0,1,0,,
20130825,14426635,35585574,5443051,16648439,32887218,0,0,0,0,0,0,1,,
